Force (N)_mean,Force (N)_std,Force (N)_min,Force (N)_max,Current (A)_mean,Current (A)_std,Current (A)_min,Current (A)_max,Pressure (PSI),Welding Time (ms),Angle (Deg),Thickness A (mm),Thickness B (mm),Welding_Time_Total
108.57428571428571,0.14010200365651385,108.39,108.77,3052.8685714285716,308.9899101064936,2770.29,3624.99,80,600,0,0.637,0.633,4200
108.64833333333333,0.04167333280008367,108.62,108.73,3071.1966666666667,560.8007301231576,2117.13,3665.57,80,600,0,0.632,0.629,3600
91.55799999999999,0.43602752206713097,91.05,92.03,2453.0299999999997,811.9990259230611,1079.88,3119.0,60,400,0,0.64,0.633,2000
92.018,0.09284395510747878,91.89,92.14,2383.552,931.5784271439522,899.1,3352.87,60,400,0,0.64,0.637,2000
91.92999999999999,0.030822070014846194,91.89,91.97,2690.84,815.6714184339182,1486.08,3598.8,60,400,0,0.646,0.634,2000
91.864,0.04098780306384401,91.83,91.93,2695.824,958.2136186049538,1320.63,3704.78,60,400,0,0.627,0.632,2000
92.012,0.08074651695273963,91.89,92.08,2629.796,839.6392950130432,1382.97,3424.44,60,400,0,0.631,0.635,2000
92.195,0.06658328118479201,92.1,92.25,2360.0775,592.5289816470303,1489.55,2741.58,60,400,0,0.617,0.627,1600
91.874,0.05983310120660725,91.8,91.96,2740.452,796.6622365657856,1761.48,3642.98,60,400,0,0.637,0.634,2000
91.85,0.04847679857415667,91.8,91.92,2784.714,629.3280864779516,2045.23,3654.76,60,400,0,0.629,0.624,2000
92.14,0.1176860229593932,91.97,92.24,2889.766,532.7891897645823,1988.09,3346.71,60,400,0,0.634,0.637,2000
92.452,0.14272350892547928,92.27,92.62,2811.8419999999996,511.19720042269404,1931.04,3181.78,60,400,0,0.635,0.631,2000
92.68199999999999,0.019235384061668286,92.66,92.71,2667.006,592.5591798124472,1830.44,3277.12,60,400,0,0.643,0.631,2000
92.928,0.10109401564880297,92.77,93.01,2681.7799999999997,731.6135901895207,1486.08,3388.08,60,400,0,0.638,0.639,2000
93.054,0.1066770828247584,92.92,93.15,2627.368,588.9422354272107,1769.28,3342.08,60,400,0,0.642,0.635,2000
93.14,0.05656854249492357,93.08,93.23,2821.602,720.0800627499694,1895.07,3682.89,60,400,0,0.637,0.633,2000
93.502,0.07463243262818028,93.42,93.59,2571.036,783.5770479538053,1435.45,3333.32,60,400,0,0.627,0.629,2000
93.506,0.03286335345031055,93.45,93.53,2789.96,636.4621880756155,1905.03,3652.88,60,400,0,0.639,0.633,2000
93.35799999999999,0.09066421565313852,93.24,93.46,2397.606,930.3432429377881,1002.23,3312.61,60,400,0,0.639,0.642,2000
93.08,0.07615773105863492,92.98,93.16,2727.07,641.8554943806796,1786.69,3205.48,60,400,0,0.636,0.632,1600
92.936,0.018165902124582658,92.92,92.96,2371.864,486.241684432752,1694.8,2883.46,60,400,0,0.631,0.627,2000
93.508,0.15221695043588673,93.27,93.62,2794.972,629.9008337190864,2030.04,3680.56,60,400,0,0.637,0.633,2000
93.45599999999999,0.11523888232710472,93.27,93.55,2738.366,678.0612797380483,1748.75,3505.35,60,400,0,0.632,0.639,2000
93.088,0.06760177512463271,92.99,93.17,2952.638,618.061534776271,2085.21,3800.12,60,400,0,0.637,0.632,2000
92.954,0.046151923036859895,92.9,93.01,2839.874,709.0328236619234,1870.41,3738.51,60,400,0,0.621,0.632,2000
93.06,0.06363961030679269,93.0,93.15,2756.61,575.3346321489782,1765.39,3222.07,60,400,0,0.636,0.641,2000
93.056,0.04929503017545763,93.01,93.13,2799.0440000000003,717.2731780360953,1612.64,3563.74,60,400,0,0.631,0.631,2000
93.026,0.008944271910000558,93.02,93.04,2912.358,623.1788277212252,1828.56,3401.76,60,400,0,0.614,0.628,2000
92.72,0.10931605554537845,92.56,92.83,2644.2740000000003,810.9801092690252,1385.46,3628.31,60,400,0,0.638,0.634,2000
92.572,0.031144823004791652,92.54,92.61,2740.9120000000003,786.5303133192007,1532.8,3490.11,60,400,0,0.628,0.633,2000
92.642,0.013038404810412012,92.63,92.66,2685.172,619.9748949110763,1877.75,3587.79,60,400,0,0.637,0.627,2000
92.644,0.058566201857386146,92.56,92.7,2556.9120000000003,773.7942998110027,1447.39,3166.07,60,400,0,0.638,0.632,2000
92.622,0.09418067742377695,92.55,92.76,2783.4440000000004,745.8273123384528,1712.97,3707.1,60,400,0,0.628,0.634,2000
76.424,0.8481509299647078,75.28,78.0,3699.529,583.5620441630674,2389.62,4481.72,60,1000,15,0.636,0.639,10000
77.01818181818182,0.6142933856361841,76.1,77.96,3581.4918181818184,549.7220541658878,2562.59,4192.22,60,1000,15,0.632,0.635,11000
76.51818181818182,1.3728278710881316,72.71,77.43,3452.25,547.8063686741878,2282.12,4210.64,60,1000,15,0.624,0.625,11000
73.39272727272727,0.021950357213911594,73.35,73.42,3408.5954545454547,635.8032141529901,2122.81,4098.86,60,1000,15,0.64,0.63,11000
74.80818181818182,0.9783232408750937,73.38,76.31,3267.2218181818184,620.7363284329053,1748.75,3867.86,60,1000,15,0.644,0.631,11000
77.10363636363637,0.3496647745276236,76.44,77.46,3323.01,624.4080004131915,1788.62,3952.31,60,1000,15,0.635,0.635,11000
73.578,0.294308983515247,73.25,74.05,3505.9919999999997,664.1114523900004,1812.5,4191.81,60,1000,15,0.624,0.634,10000
73.52545454545454,0.2561001224663375,73.21,73.97,3405.7172727272728,628.6387309431534,1860.26,4234.26,60,1000,15,0.641,0.638,11000
73.72545454545455,0.18736934841983446,73.38,73.89,3521.4954545454543,543.9731029630719,2230.28,4289.55,60,1000,15,0.628,0.634,11000
73.64454545454545,0.18211884231806008,73.29,73.78,3492.5054545454545,591.2976538151261,2450.74,4144.76,60,1000,15,0.63,0.64,11000
73.369,0.1243159058384934,73.21,73.53,3657.6949999999997,391.84141001884365,2825.62,4165.05,60,1000,15,0.633,0.629,10000
